2345,520,典当企业信息主要包括具有典当资质的企业名称、批准时间等信息。,社区周边生活服务,典当企业,经济建设,国内贸易,业务类,普遍公开,每年,2015-10-29,2017-09-12,上海市商务委员会
3398,491,上海市体育局、市体育局直属单位、各区县体育局、各协会的名称、地址、电话、邮编,政府办事,体育机构,文化休闲,体育,业务类,普遍公开,每年,2015-01-21,上海市体育局
2716,333,上海市体彩销售点门店号、电话、区县、门店区域、地址、邮编,社区周边生活服务,体彩，销售点,文化休闲,体育,业务类,普遍公开,每年,2015-05-06,2017-08-03,上海市体育局
2359,278,上海体育彩票公益金的筹集、分配、使用情况，包括上缴、下拨、补贴等,政府办事,体育彩票,文化休闲,体育,业务类,普遍公开,每年,2015-04-28,上海市体育局
3963,695,2010年第六次全国人口普查，上海市分不同学习阶段的学生年龄构成,政府办事,第六次人口普查受教育程度人口的年龄构成,社会发展,统计,业务类,普遍公开,每十年,2015-01-28,2017-07-04,上海市统计局
2724,157,提供1978年以来上海全社会固定资产投按国有经济、集体经济等经济类型分组的数据。,政府办事,1978年以来，上海，全社会，按经济类型分的固定资产投资,经济建设,统计,业务类,普遍公开,每年,2012-12-04,上海市统计局
4028,794,上海市审计局根据有关规定向社会公告的审计结果。主要内容包括基本情况和审计评价、审计(调查)发现的主要问题、审计处理情况及意见、以及审计（调查）发现问题的整改情况等。,政府办事,审计 结果,经济建设,审计,业务类,普遍公开,每年,2015-10-22,2017-07-03,上海市审计局
4298,502,上海市危险废物经营许可证名单，包括单位名称、法定代表人、经营设施地址、核准经营范围、联系人、联系电话、许可内容、许可证副本浏览等信息,政府办事,危险废物经营许可证,资源环境,环境保护、治理,业务类,普遍公开,按需要,2015-03-17,上海市环境保护局
4371,604,上海市建设项目环境影响评价单位信息，包括单位名称、证书编号、资质等级、地址、邮编、联系人、联系电话、评价范围等信息,政府办事,建设项目，环境影响评价单位,资源环境,环境保护、治理,业务类,普遍公开,每年,2015-03-17,2017-06-30,上海市环境保护局
3868,673,内容主要包括上海市审计局根据上海审计工作的年度主要任务和重点安排的年度重点审计项目计划。,政府办事,审计 项目计划,经济建设,审计,规划计划,普遍公开,每年,2015-10-09,上海市审计局
2848,377,上海市审计局市人民政府委托，向市人大常委会报告关于市本级预算执行和其他财政收支审计查出问题的整改情况。,政府办事,审计 整改 报告,经济建设,审计,业务类,普遍公开,每年,2015-10-22,2017-06-19,上海市审计局
3550,776,内容主要包括全市审计机关组织开展审计和审计调查项目，查出违规金额、损失浪费金额，促进财政增收节支，移送案件线索和事项等审计工作成果。,政府办事,审计 成果,经济建设,审计,业务类,普遍公开,每年,2015-10-09,上海市审计局
2167,303,上海市水务项目咨询评估信息，包含项目委托单位、项目类别、评估状态累计信息.,政府办事,水务项目，咨询评估,资源环境,水利,业务类,普遍公开,每季度,2016-11-09,2017-06-02,上海市水务局
4481,668,排水行业数据库及其管理系统中污水处理设施信息资料。包括单位名称.厂址.上级主管部门.设计规模(万m3/日).年处理水量(万m3).填表日期。,政府办事,单位名称.厂址.上级主管部门.设计规模(万m3/日).年处理水量(万m3).填表日期,资源环境,综合类,业务类,普遍公开,每年,2015-10-29,上海市水务局
3055,460,排水行业数据库及其管理系统中道路积水自动监测站点信息资料。包括名称.地址。,政府办事,名称.地址,资源环境,综合类,业务类,普遍公开,每年,2015-10-29,2017-06-02,上海市水务局
2569,350,排水行业数据库及其管理系统中防汛应急子系统的设备资料。包括抢险范围，组成单位，设备类型，品牌，数量，流量(m3/h)，扬程（m)，发电机功率（kw），集结地点，联系人，联系电话,交通出行,设备类别，品牌，数量,资源环境,综合类,业务类,普遍公开,每年,2015-10-29,上海市水务局
2539,297,排水行业数据库及其管理系统中防汛应急子系统物资资料。包括储备点名称.储备点地址.联系人.电话.备注。,社区周边生活服务,储备点名称.储备点地址.联系人.电话.备注,资源环境,综合类,业务类,普遍公开,每年,2015-10-29,2017-06-02,上海市水务局
3611,600,上海市17个各区县监察局、4个中央在沪单位监察部的联系信息，主要包括：名称、地址和联系电话。,政府办事,上海，监察，地址，电话,机构团体,综合类,其他类,普遍公开,每半年,2015-10-30,上海市监察局
4474,387,提供水务、海洋行政审批事项目录，包括行政审批事项名称、行政审批办事指南、审批流程等信息。,政府办事,行政审批事项名称、办事指南,资源环境,水利,业务类,普遍公开,每年,2017-02-07,2017-05-27,上海市水务局
2965,430,提供全市律师的姓名、性别、发证时间、证书编号等信息供市民查询,政府办事,律师,社会发展,司法,业务类,普遍公开,每月,2015-11-02,上海市司法局
3013,469,提供律师事务所名称、地址、执业许可证号、联系电话等信息供市民查询,政府办事,律师事务所,社会发展,政法综合类,其他类,普遍公开,每月,2015-03-10,上海市司法局
2432,293,提供公证员姓名、性别、级别、发证日期、证书编号等基础信息供市民查询,政府办事,公证员,社会发展,司法,业务类,普遍公开,每月,2015-11-04,2017-05-15,上海市司法局
2875,386,提供公证处的机构名称、地址、联系电话、传真、负责人等信息供市民查询,政府办事,公证处,社会发展,政法综合类,其他类,普遍公开,每月,2015-03-10,上海市司法局
2846,277,提供司法鉴定人的姓名、性别、级别、发证日期、证书编号等信息供市民查询,政府办事,司法鉴定人,社会发展,司法,业务类,普遍公开,每月,2015-10-30,2017-05-15,上海市司法局
2825,377,提供司法鉴定机构名称、地址、联系电话、传真、负责人等信息供市民查询,政府办事,司法鉴定机构,社会发展,政法综合类,其他类,普遍公开,每月,2015-03-10,上海市司法局
3149,439,主要提供司法所名称、地址、联系电话、服务时间等信息供市民查询,政府办事,法律服务.街道乡镇司法所,机构团体,政法综合类,其他类,普遍公开,每月,2015-01-20,2017-05-15,上海市司法局
3253,469,提供社区矫正中心名称、区县、地址、联系电话、邮编等信息供市民查询,社区周边生活服务,社区矫正中心,公共安全,政法综合类,其他类,普遍公开,每月,2015-10-30,上海市司法局
3370,388,提供人民调解委员会名称、邮编、联系电话、区县等信息供市民查询,政府办事,司法鉴定机构,社会发展,政法综合类,其他类,普遍公开,每月,2015-10-30,2017-05-15,上海市司法局
3024,408,提供医患纠纷人民调解委员会名称、区县、地址、联系电话等信息供市民查询,就医与保健,医患纠纷人民调解委员会,卫生健康,政法综合类,其他类,普遍公开,每月,2015-10-30,2017-05-15,上海市司法局
3069,400,主要提供法律援助中心机构名称、地址、联系电话、传真、负责人供市民查询,政府办事,法律援助中心,机构团体,政法综合类,其他类,普遍公开,每月,2015-03-10,上海市司法局
2414,282,提供基层法律工作者姓名、性别、级别、发证日期、证书编号等信息供市民查询,政府办事,基层法律工作者,社会发展,司法,其他类,普遍公开,每月,2015-11-04,2017-05-15,上海市司法局
2891,375,提供服务所名称、地址、联系电话、负责人、执业证号等信息供市民查询,政府办事,基层法律服务所,社会发展,政法综合类,其他类,普遍公开,每月,2015-03-10,上海市司法局
1581,138,护士执业注册包括：姓名、审批机关、执业机构名称、性别、执业证号、批准日期。,培训与就业,护士 执业注册,卫生健康,医疗保健,机构职能,普遍公开,每年,2016-11-16,2017-04-27,上海市卫生和计划生育委员会
1898,223,建设项目预防性卫生审核包括：项目名称、申请单位名称、批准文号、审批日期。,政府办事,建设项目 预防性 卫生审核,卫生健康,医疗保健,机构职能,普遍公开,每季度,2016-07-12,2017-04-27,上海市卫生和计划生育委员会
2295,320,健康相关产品生产能力审核包括：生产企业、生产地址、生产项目。,政府办事,健康相关产品 生产能力 审核,卫生健康,医疗保健,机构职能,普遍公开,每季度,2016-07-08,上海市卫生和计划生育委员会
2244,255,涉及饮用水卫生安全的产品卫生许可包括：序号、产品名称、申请单位、批准文号、批准日期、有效期。,就医与保健,饮用水 卫生安全 产品 卫生许可,卫生健康,医疗保健,机构职能,普遍公开,每季度,2016-07-08,2017-04-27,上海市卫生和计划生育委员会
1891,255,医疗机构设置审批（内资医疗机构）包括：批准设置机构名称、地址、诊疗科目、床位、经营性质。,就医与保健,医疗机构 设置审批 内资医疗机构,卫生健康,医疗保健,机构职能,普遍公开,每年,2016-11-16,上海市卫生和计划生育委员会
2044,257,医疗机构执业登记信息包括：医疗机构名称、地址、诊疗科目、服务方式、床位、经营性质、法定代表人。,政府办事,医疗机构 执业登记 信息,卫生健康,医疗保健,机构职能,普遍公开,每年,2016-11-16,2017-04-27,上海市卫生和计划生育委员会
1801,184,医师执业注册包括：姓名、性别、执业范围、执业地点、发证/有效日期、发证机关、执业类别、医师级别。,培训与就业,医师 执业注册,卫生健康,医疗保健,机构职能,普遍公开,每年,2016-11-24,上海市卫生和计划生育委员会
1466,116,医师资格证书核发信息包括：姓名。数据更新频率为每年更新一次。,培训与就业,医师资格证书 核发,卫生健康,医疗保健,机构职能,普遍公开,每年,2016-11-24,2017-04-27,上海市卫生和计划生育委员会
1372,101,乙类大型医用设备配置的审批包括：名称、批准文号、设备名称、批准日期。,就医与保健,乙类 大型医用设备 配置 审批,卫生健康,医疗保健,机构职能,普遍公开,每年,2016-11-16,上海市卫生和计划生育委员会
3638,709,统计表包括：机构分类、机构个数、实有床位数、在岗职工、合计(含乡村医生、卫生员)、合计(不含乡村医生、卫生员)、乡村医生、卫生员、卫生技术人员、技术人员、管理人员、工勤技能人员、执业(助理)医师、执业医师、注册护士、药师(士)、技师(士)、其他。,政府办事,全市 医疗卫生机构 床位 人员基本情况 统计,卫生健康,医疗保健,机构职能,普遍公开,每年,2016-07-12,2017-04-26,上海市卫生和计划生育委员会
3733,720,全市医疗机构分区县域分科门诊诊疗情况统计表包括：合计、预防保健科、全科医疗科、内科、外科、妇产科、妇女保健科、儿科、小儿外科、儿童保健科、眼科、耳鼻咽喉科、口腔科、皮肤科、医疗美容科、精神科、传染科、结核病科、肿瘤科、急诊医学科、康复医学科等。,政府办事,医疗机构 区县 分科 门诊 诊疗情况 统计,卫生健康,医疗保健,机构职能,普遍公开,每年,2016-07-08,上海市卫生和计划生育委员会
4123,1022,统计表包括：机构、总诊疗人次数、门急诊人次数、平均每天门急诊人次、平均每一门急诊费用、观察室入观病例数、健康检查人次数、入院人数、出院人数、实际占用总床日数、平均每天住院人数、平均每出院者住院天数、平均每一出院者住院费、平均每一出院病人床日费用等。,政府办事,医疗机构 业务情况 统计,卫生健康,医疗保健,机构职能,普遍公开,每年,2016-07-12,2017-04-25,上海市卫生和计划生育委员会
3641,907,统计表包括：总诊疗人次数、门急诊人次数、平均每天门急诊人次、平均每一门急诊费用、观察室入观病例数、健康检查人次数、入院人数、出院人数、实际占用总床日数、平均每天住院人数、平均每出院者住院天数、平均每一出院病人床日费用、病床使用率、病床周转率等。,政府办事,区县 医疗机构院 业务情况 统计,卫生健康,医疗保健,机构职能,普遍公开,每年,2016-07-12,上海市卫生和计划生育委员会
2977,474,提供上海市工商行政管理局最近一年内资企业注销登记的公告数据。,政府办事,内资企业，注销，公告,经济建设,综合类,业务类,普遍公开,每年,2012-11-23,2017-04-25,上海市工商行政管理局
3112,422,提供上海市工商行政管理局最近一年市局登记的外资企业设立公告数据。,政府办事,市局，外资企业，设立，公告,经济建设,工商,业务类,普遍公开,每年,2012-11-23,上海市工商行政管理局
2752,342,提供上海市工商行政管理局最近一年市局登记的外资企业名称变更公告数据。,政府办事,市局，外资企业，名称变更，公告,经济建设,工商,业务类,普遍公开,每年,2012-11-23,2017-04-25,上海市工商行政管理局
2703,324,提供上海市工商行政管理局最近一年市局登记的外资企业注销公告数据 。,政府办事,市局外资企业注销公告数据,经济建设,工商,业务类,普遍公开,每年,2012-11-23,上海市工商行政管理局
2733,321,提供上海市工商行政管理局最近一年市局登记的外国（地区）常驻代表机构设立公告数据。,政府办事,市局，外国（地区）常驻代表机构，设立，公告,经济建设,工商,业务类,普遍公开,每年,2012-11-23,2017-04-25,上海市工商行政管理局
2255,304,提供上海市工商行政管理局最近一年市局登记的外国（地区）常驻代表机构名称变更公告数据。,政府办事,市局，外国（地区）常驻代表机构，名称变更，公告,经济建设,工商,业务类,普遍公开,每年,2012-11-23,上海市工商行政管理局
2208,303,提供上海市工商行政管理局最近一年市局登记的外国（地区）常驻代表机构换证公告数据。,政府办事,市局，外国（地区）常驻代表机构，换证，公告,经济建设,工商,业务类,普遍公开,每年,2012-11-23,2017-04-25,上海市工商行政管理局
2267,325,提供上海市工商行政管理局最近一年市局登记的外国（地区）常驻代表机构注销公告数据。,政府办事,市局，外国（地区）常驻代表机构，注销，公告,经济建设,工商,业务类,普遍公开,每年,2012-11-23,上海市工商行政管理局
2237,321,提供上海市工商行政管理局最近一年市局登记的外国（地区）常驻代表机构撤销公告数据。,政府办事,市局，外国（地区）常驻代表机构，撤销，公告,经济建设,工商,业务类,普遍公开,每年,2012-11-23,2017-04-25,上海市工商行政管理局
2451,377,提供上海市工商行政管理局最近一年浦东新区分局登记的外资企业设立公告数据。,政府办事,浦东新区分局，外资企业，设立，公告,经济建设,工商,业务类,普遍公开,每年,2012-11-23,上海市工商行政管理局
1998,310,提供上海市工商行政管理局最近一年浦东新区分局登记的外资企业名称变更公告数据。,政府办事,浦东新区分局，外资企业，名称变更，公告,经济建设,工商,业务类,普遍公开,每年,2012-11-23,2017-04-25,上海市工商行政管理局
2051,324,提供上海市工商行政管理局最近一年浦东新区分局登记的外资企业注销公告数据。,政府办事,浦东新区分局，外资企业，注销，公告,经济建设,工商,业务类,普遍公开,每年,2012-11-23,上海市工商行政管理局
2096,320,提供上海市工商行政管理局最近一年浦东新区分局登记的外资企业撤销公告数据。,政府办事,浦东新区分局，外资企业，撤销，公告,经济建设,工商,业务类,普遍公开,每年,2012-11-23,2017-04-25,上海市工商行政管理局
2180,339,提供上海市工商行政管理局最近一年浦东新区分局登记的外国（地区）常驻代表机构设立公告数据。,政府办事,浦东新区分局，外国（地区）常驻代表机构，设立，公告,经济建设,工商,业务类,普遍公开,每年,2012-11-23,上海市工商行政管理局
2503,393,提供上海市工商行政管理局最近一年浦东新区分局登记的外国（地区）常驻代表机构名称变更公告数据。,政府办事,浦东新区分局，外国（地区）常驻代表机构，名称，变更，公告,经济建设,工商,业务类,普遍公开,每年,2012-11-23,2017-04-25,上海市工商行政管理局
2121,333,提供上海市工商行政管理局最近一年浦东新区分局登记的外国（地区）常驻代表机构换证公告数据,政府办事,浦东新区分局，外国（地区）常驻代表机构，换证，公告,经济建设,工商,业务类,普遍公开,每年,2012-11-23,上海市工商行政管理局
2221,333,提供上海市工商行政管理局最近一年浦东新区分局登记的外国（地区）常驻代表机构注销公告数据。,政府办事,浦东新区分局，外国（地区）常驻代表机构，注销，公告,经济建设,工商,业务类,普遍公开,每年,2012-11-23,2017-04-25,上海市工商行政管理局
2786,363,提供上海市工商行政管理局最近一年浦东新区分局登记的外国（地区）常驻代表机构撤销公告数据。,政府办事,浦东新区分局，外国（地区）常驻代表机构，撤销，公告,经济建设,工商,业务类,普遍公开,每年,2012-11-23,上海市工商行政管理局
2811,359,提供上海市工商行政管理局最近一年市局登记的外资企业撤销公告数据。,政府办事,市局，外资企业，撤销，公告,经济建设,工商,业务类,普遍公开,每年,2012-11-23,2017-04-25,上海市工商行政管理局
5261,1468,提供最近想一年上海市工商行政管理局内资企业设立登记的公告数据，包括企业名称等信息。,政府办事,内资企业设立登记公告数据,经济建设,工商,业务类,普遍公开,每年,2012-11-23,上海市工商行政管理局
2527,347,工商行政管理部门依职能向全市执业经纪人发放的各类经纪执业证书信息。包括执业经纪人姓名、执业经纪人证书号、执业经纪人类别、执业经纪人所在经纪企业的名称等。,政府办事,工商，执业经纪人,经济建设,工商,业务类,普遍公开,每年,2015-11-16,2017-04-25,上海市工商行政管理局
3218,426,提供全市消费维权点分布数据，包括所属区县、联络点名称 、联络点地址、联系电话等信息。,政府办事,消费维权点，地址,机构团体,工商,业务类,普遍公开,每年,2012-11-23,上海市工商行政管理局
4340,659,提供上海市著名商标公告数据，包括上海市最新的评定的上海市著名商标及重新认定为上海市的著名商标。,政府办事,著名商标、公告,民生服务,工商,业务类,普遍公开,每年,2012-11-23,2017-04-25,上海市工商行政管理局
2034,118,全市市场监督管理所及工商所地址及电话,政府办事,全市，市场监督管理所，工商所，地址，电话,经济建设,工商,机构职能,普遍公开,每年,2016-11-24,上海市工商行政管理局
1655,115,提供当前年度合同示范文本目录,政府办事,合同示范文本,经济建设,工商,机构职能,普遍公开,每年,2016-11-24,2017-04-25,上海市工商行政管理局
2833,378,提供上海市工商行政管理局最近一年内资企业名称变更登记的公告数据。,政府办事,内资企业，名称变更，公告,经济建设,工商,业务类,普遍公开,每年,2012-11-23,上海市工商行政管理局
1544,219,职业病诊断医师资格审批包括：姓名、证书编码、诊断范围、执业地。,就医与保健,职业病 诊断 医师资格 审批,卫生健康,医疗保健,机构职能,普遍公开,每季度,2016-07-08,2017-04-19,上海市卫生和计划生育委员会
1971,275,消毒产品生产企业卫生许可包括：生产企业、生产地址、许可证号、生产项目、批准日期、有效期。,政府办事,消毒产品 生产企业 卫生许可,卫生健康,医疗保健,机构职能,普遍公开,每季度,2016-07-08,上海市卫生和计划生育委员会
1503,120,外国医师来华短期行医执业许可（包括台湾）包括：姓名、发证机关、执业地点、有效期。,就医与保健,外国医师 来华 短期行医执业 许可 台湾,卫生健康,综合类,机构职能,普遍公开,每年,2016-11-16,2017-04-19,上海市卫生和计划生育委员会
1880,282,放射工作人员证包括：姓名、职业照射种类、工作单位、发证单位。,政府办事,放射 工作人员 证,卫生健康,医疗保健,机构职能,普遍公开,每季度,2016-07-08,上海市卫生和计划生育委员会
3164,585,市级政府部门统计调查项目信息，包括统计调查项目名称、制发单位名称、批准（或备案）文号、有效期等,政府办事,上海，市级政府部门，统计调查项目信息,经济建设,统计,机构职能,普遍公开,每年,2015-07-17,2017-04-13,上海市统计局
2535,455,区县统计局批准的区县级政府部门统计调查项目 统计调查项目名称、制发单位名称、批准（或备案）文号、有效期至等,政府办事,区县统计局批准的区县级政府部门统计调查项目,经济建设,统计,机构职能,普遍公开,每年,2015-07-17,上海市统计局
2632,442,区县统计局制订的专项（一次性）调查项目信息 统计调查项目名称、制发单位名称、批准（或备案）文号、有效期至等,政府办事,区县统计局制订的专项（一次性）调查项目信息,经济建设,统计,机构职能,普遍公开,每年,2015-07-17,2017-04-13,上海市统计局
2232,359,国家统计局上海调查总队各区、县调查队联系方式，包括单位名称、办公地址和联系方式。,政府办事,各区、县 调查队 联系方式,机构团体,综合政务类,其他类,普遍公开,每年,2016-04-13,上海市统计局
3155,599,提供2011年上海生产总值、社会消费品零售总额、关区进出口总额等社会经济主要指标占全国比重。,政府办事,上海社会经济主要指标占全国比重 (2011),经济建设,统计,业务类,普遍公开,每年,2012-12-04,2017-04-06,上海市统计局
4101,935,提供1980年至2011年上海城市居民家庭可支配收入和消费支出情况的数据。,政府办事,商品零售价格,经济建设,统计,业务类,普遍公开,每年,2012-12-04,上海市统计局
2914,537,提供1978年至2011年以上年价格为100和以1978年价格为100的上海居民消费价格指数。,政府办事,居民消费价格,经济建设,统计,业务类,普遍公开,每年,2012-12-04,2017-04-06,上海市统计局
2781,501,提供2011年按三次产业分组、按行业分分组的国有单位、集体单位、港澳台等单位在岗职工人数。,政府办事,各行业在岗职工人数,社会发展,统计,业务类,普遍公开,每年,2012-12-04,2017-04-06,上海市统计局
3039,558,提供2011年按三次产业分组、按行业分分组的国有单位、集体单位、港澳台等单位职工人数。,政府办事,各行业职工人数,社会发展,统计,业务类,普遍公开,每年,2012-12-04,上海市统计局
2919,555,提供2001年、2010年、2011年按第一、第二、第三产业分组的上海市生产总值数据。,政府办事,主要年份上海市生产总值,经济建设,统计,业务类,普遍公开,每年,2012-12-04,2017-04-06,上海市统计局
3028,464,提供1978年、1990年至2011年非公有制经济增加值及按第一、第二、第三产业分组的数据。,政府办事,主要年份非公有制经济增加值,经济建设,统计,业务类,普遍公开,每年,2012-12-04,上海市统计局
2315,411,提供1990年、1995年、2000年至2011年上海市生产总值及按公有制经济和非公有制经济分的数据。,政府办事,主要年份上海市生产总值,经济建设,统计,业务类,普遍公开,每年,2012-12-04,2017-04-06,上海市统计局
2459,469,提供1978年至2011年上海市生产总值、上海市生产总值增长速度的数据。,政府办事,生产总值、增速,经济建设,统计,业务类,普遍公开,每年,2012-12-04,上海市统计局
2276,424,提供1978年至2011年上海社会消费品零售总额按吃、穿、用等用途分组的数据。,政府办事,按用途分的零售总额,经济建设,统计,业务类,普遍公开,每年,2012-12-04,2017-04-06,上海市统计局
2354,478,提供1978年至2011年上海社会消费品零售总额按批发零售贸易业、住宿餐饮业、制造业等分组的数据。,政府办事,按行业分的零售总额,经济建设,统计,业务类,普遍公开,每年,2012-12-04,上海市统计局
2146,421,提供1978年至2011年上海社会消费品零售总额按区、县销售地区分组的数据。,政府办事,按销售地区分的零售总额,经济建设,统计,业务类,普遍公开,每年,2012-12-04,2017-04-06,上海市统计局
2082,369,提供1978年至2011年上海社会消费品零售总额按国有经济、集体经济、私营、个体等经济类型分组的数据。,政府办事,按经济类型分的零售总额,经济建设,统计,业务类,普遍公开,每年,2012-12-04,上海市统计局
2121,390,提供1978年至2011年上海建筑业总产值和按总产值计算的全员劳动生产率的数据。,政府办事,建筑业总产值、全员劳动生产率,经济建设,统计,业务类,普遍公开,每年,2012-12-04,2017-04-06,上海市统计局
4418,841,提供1978年至2011年上海住宅投资、住宅投资额占全社会固定资产投资总额比重 、住宅竣工建筑面积的数据。,政府办事,住宅投资、竣工面积,城市建设,统计,业务类,普遍公开,每年,2012-12-04,上海市统计局
2159,410,提供1978年至2011年上海工业总产值、上海工业总产值增长速度的数据。,政府办事,工业总产值、增速,经济建设,统计,业务类,普遍公开,每年,2012-12-04,2017-04-06,上海市统计局
3209,516,提供1978年至2011年以上年价格为100和以1978年价格为100的上海商品零售价格指数。,政府办事,居民消费价格,民生服务,统计,业务类,普遍公开,每年,2012-12-04,上海市统计局
2558,385,上海市各区、县统计局联系方式，包括各区、县统计局单位名称、办公地址、联系方式。,政府办事,区县 统计局 联系方式,机构团体,综合政务类,其他类,普遍公开,每年,2016-04-13,2017-04-06,上海市统计局
2130,397,提供1985年至2011年上海单位生产总值能耗的数据，单位为：吨标准煤/万元。,政府办事,单位生产总值能耗,经济建设,统计,业务类,普遍公开,每年,2012-12-04,上海市统计局
5287,1271,提供1978年至2011年上海市生产总值按第一、第二、第三产业分组的数据。,政府办事,上海市，生产总，分行业统计,经济建设,统计,业务类,普遍公开,每年,2012-12-05,2017-04-06,上海市统计局
7925,4834,统计本市接待入境旅游者人数（人次），包括月度人次，累计年度人次，增长率等数据,政府办事、学校教育与终身教育、交通出行,本市接待入境旅游者人数,文化休闲,旅游,业务类,普遍公开,每月,2016-01-14,上海市旅游局
7044,4211,入境外国人按主要客源国分（人次），按照主要客源国国别统计入境外国人过夜人数，按月统计，并计算增长率,政府办事、交通出行,入境外国人按主要客源国分（人次）,文化休闲,旅游,业务类,普遍公开,每月,2016-01-14,2017-04-06,上海市旅游局
7834,4597,旅游饭店客房平均出租率和平均房价，按照星级饭店和非星级饭店统计客房平均出租率和平均房价，并统计同比增减值。,政府办事、交通出行,旅游饭店客房平均出租率和平均房价,文化休闲,旅游,业务类,普遍公开,每月,2016-01-15,上海市旅游局
5943,3451,旅行社外联、接待入境旅游人数（人次），统计旅行社外联和接待入境旅游人数的数字和同比增长率,政府办事、交通出行,旅行社外联、接待入境旅游人数（人次）,文化休闲,旅游,业务类,普遍公开,每月,2016-01-15,2017-04-06,上海市旅游局
6344,3727,旅行社组织出境旅游人数（人次），统计每月旅行社组织出境游的人数和增长比率,政府办事,旅行社组织出境旅游人数（人次），,文化休闲,旅游,业务类,普遍公开,每月,2016-01-15,上海市旅游局
7457,4601,旅行社国内旅游组团人数和接待人数，按照月度统计旅行社组团人数和接待人数，并计算同比增减值。,政府办事、交通出行,旅行社国内旅游组团人数和接待人数,文化休闲,旅游,业务类,普遍公开,每月,2016-01-15,2017-04-06,上海市旅游局
2831,383,上海市具有开展出境旅游业务资质的旅行社信息，包括许可证编号、旅行社名称、注册地址、电话,社区周边生活服务,出境旅游业务资质的旅行社,文化休闲,旅游,其他类,普遍公开,每年,2015-10-10,上海市旅游局
2386,388,全市社区旅游信息服务点信息汇总表，包含信息服务点所在行政区、社区信息苑名称、所在街道名称和详细地址信息,政府办事,社区旅游信息服务点，街道，地址,文化休闲,旅游、服务业综合类,其他类,普遍公开,每年,2015-10-09,2017-04-06,上海市旅游局
3647,803,上海旅游集散总站及分站一览表，包括名称、地址、联系电话、周边交通,社区周边生活服务,旅游，集散,文化休闲,旅游,其他类,普遍公开,每年,2015-01-13,上海市旅游局
3053,349,上海市企业用自来水水价相关信息，包括执行时间，水价，适用范围等内容。,政府办事,执行时间，水价，适用范围,资源环境,水利,其他类,普遍公开,每年,2015-10-28,2017-04-05,上海市水务局
2982,358,上海市有节约用水突出表现并被上海市水务局、上海市经济和信息化委员会联合命名表彰的企业。,政府办事,企业（单位）名称，获评年度,资源环境,水利,其他类,普遍公开,每年,2015-10-28,上海市水务局
2744,365,在本市节约用水方面有突出表现并被市水务局、市精神文明建设委员会办公室联合命名表彰的小区。,社区周边生活服务,节水型，小区名称，获评年度,资源环境,水利,其他类,普遍公开,每年,2015-10-28,2017-04-05,上海市水务局
2951,306,各郊区县直接负责本区域计划用水及节约用水工作的行政部门信息。,政府办事,名称，所属区县，地址，联系人,资源环境,水利,其他类,普遍公开,每年,2015-10-28,上海市水务局
2463,285,负责对月均用水量500m3以上的市属用水单位的计划用水考核工作的办事站点信息。,政府办事,站点名称，地址，联系电话,资源环境,水利,其他类,普遍公开,每年,2015-10-28,2017-04-05,上海市水务局
1558,169,上海市市管地下水深井信息取水地点概况、所属行政区划、所属流域，所属水资源分片、取水许可证号、井类型、所属行业分类等,政府办事,取水地点概况.许可证号.井类型、行业分类,资源环境,水利,其他类,普遍公开,每年,2016-11-09,上海市水务局
1635,156,上海市市管及委托管理的地表水取水口信息，包括取水地点概况、所属行政区划、所属流域、所属水资源分区、所属水利分片、取水方式、取水类型、所属行业分类等信息,政府办事,取水地点概况，取水方式，取水类型，行业分类,资源环境,水利,其他类,普遍公开,每年,2016-11-09,2017-04-05,上海市水务局
1464,99,上海市水资源取水水价信息，包括地表水、地下水水资源费征收信息，深井水水费信息,政府办事,执行时间、水价、批文号、适用范围,资源环境,水利,其他类,普遍公开,每年,2016-11-09,上海市水务局
1375,83,上海市各区县（非中心城区）取水管理部门信息，包括：名称、所属区县、地址、邮编、联系电话等,政府办事,名称.地址.联系电话,资源环境,水利,机构职能,普遍公开,每年,2016-11-09,上海市水务局
2578,544,1980年以来城市居民家庭生活基本情况,政府办事,1980年以来城市居民家庭生活基本情况,经济建设,统计,业务类,普遍公开,每年,2015-01-28,2017-04-01,上海市统计局
2627,410,1980年以来农村居民家庭生活基本情况,政府办事,1980年以来农村居民家庭生活基本情况,社会发展,统计,业务类,普遍公开,每年,2015-01-28,上海市统计局
2785,523,各行业所有制职工人数,政府办事,各行业所有制职工人数,社会发展,统计,业务类,普遍公开,每年,2015-01-28,2017-04-01,上海市统计局
2373,410,提供1978年至2011年上海全社会固定资产投按管理渠道分组，包括基本建设、更新改造、房地产开发等数据。,政府办事,基本建设、更新改造等固定资产投资,经济建设,统计,业务类,普遍公开,每年,2012-12-04,上海市统计局
3375,705,提供1978年至2011年上海人均生产总值按人民币计算和按美元计算的数据。,政府办事,人均生产总值,经济建设,统计,业务类,普遍公开,每年,2012-12-04,2017-04-01,上海市统计局
2894,527,提供1978年至2011年上海工业总产值、上海工业总产值按轻工业、重工业分组的数据。,政府办事,轻、重工业总产值,经济建设,统计,业务类,普遍公开,每年,2012-12-04,上海市统计局
2907,533,提供1978年至2011年上海全社会固定资产投资、全社会固定资产投资增长速度的数据。,政府办事,固定资产投资、增速,经济建设,统计,业务类,普遍公开,每年,2012-12-04,2017-04-01,上海市统计局
